Crop,Pesticide,Fertilizer,Seeds,Season,Help-link
RICE,"Lambda-cyhalothrin, malathion, zeta-cypermethrin",Ammonium Sulfate,Kudrat-5,Winter,"https://ccari.icar.gov.in/dss/rice.html#:~:text=Pre%2Dgerminated%20seeds%20can%20be,ensuring%20atleast%2050%20hills%20%2F%20sq."
GROUNDNUT,Fipronil 0.3 GR,Super Phosphate,GG40 (ICGV 16668),Rainy/Monsson,https://kvk.icar.gov.in/API/Content/PPupload/k0447_28.pdf
MAIZE,Methyl demetion 25EC 500 ml/ha,Phosphorous and Potassic,HTM 606,Spring,https://kvk.icar.gov.in/API/Content/PPupload/k0376_3.pdf
WHEAT,"Organochlorines, Organophosphate, Synthetic pyrethroids",Potassium chloride,"DBW 187, DBW 303",Winter,https://kvk.icar.gov.in/API/Content/PPupload/k0447_2.pdf
SUGARCANE,Chlorpyrifos 20% EC,Nitrogen Fertilizer,"CoLk 11206, Midlate",Autumn,"https://ccari.icar.gov.in/dss/sugarcane.html#:~:text=Before%20planting%20the%20setts%2C%20another,by%20light%20digging%20before%20planting."
BARLEY,Piperonyl butoxide,Monopotassium Phosphate,BH 393,Winter,https://kvk.icar.gov.in/API/Content/PPupload/k0044_25.pdf
PEARL MILLET,Imidacloprid 48% FS,Diammonium phosphate,TMB 301,Summer,https://aicrp.icar.gov.in/pearl/
SORGHUM,Methyl demetion 25EC 500 ml/ha,Urea,CoFS31 Fodder Sorghum,Rainy/Monsson,https://agritech.tnau.ac.in/agriculture/millets_sorghum.html
CHICKPEA,Emamectin benoate 5.00% SG,"MAHAFLORA, PROZIN12, GLUCOMIC3",Karan Kabuli 4,Spring,https://kvk.icar.gov.in/API/Content/PPupload/k0376_6.pdf
CASTOR,Melathion 50 EC 2.0 l/ha,Organic Compost,"GCH-8, GCH-9",Rainy/Monsson,https://kvk.icar.gov.in/API/Content/PPupload/k0447_29.pdf
FINGER MILLET,Dimethioate(0.05%),Neem cake,CFMV 1 (Indravathi),Rainy/Monsson,https://kvk.icar.gov.in/API/Content/PPupload/k0162_27.pdf
PEAGON PEA,Phorate 10% CG,"Diammonium phosphate, Muriate of potash","Cajanus bicolor DC., Cajanus flavus DC.",Summer,https://kvk.icar.gov.in/API/Content/PPupload/k0116_26.pdf